[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
2,100,1,10,90,41,0,100,1
3,100,1,10,90,40,0,100,1
8,100,11,10,90,34,0,100,12
7,100,11,10,90,33,0,100,10
2,100,1,10,90,42,0,100,1
4,100,1,10,90,41,0,100,1
3,100,1,10,90,41,0,100,1
8,100,11,10,90,35,0,100,12
2,100,1,10,90,43,0,100,1
1,100,1,10,90,32,0,100,1
6,100,11,10,90,21,0,100,10
4,100,1,10,90,42,0,100,1
5,100,1,10,90,25,0,100,1
7,100,11,10,90,34,0,100,10
3,100,1,10,90,42,0,100,1
2,100,1,10,90,44,0,100,1
8,100,11,10,90,36,0,100,12
3,100,1,10,90,43,0,100,1
7,100,11,10,90,35,0,100,10
2,100,1,10,90,45,0,100,1
8,100,11,10,90,37,0,100,12
3,100,1,10,90,44,0,100,1
4,100,1,10,90,43,0,100,1
2,100,1,10,90,46,0,100,1
1,100,1,10,90,33,0,100,1
7,100,11,10,90,36,0,100,10
8,100,11,10,90,38,0,100,12
3,100,1,10,90,45,0,100,1
6,100,11,10,90,22,0,100,10
2,100,1,10,90,47,0,100,1
4,100,1,10,90,44,0,100,1
3,100,1,10,90,46,0,100,1
8,100,11,10,90,39,0,100,12
7,100,11,10,90,37,0,100,10
2,100,1,10,90,48,0,100,1
1,100,1,10,90,34,0,100,1
4,100,1,10,90,45,0,100,1
3,100,1,10,90,47,0,100,1
8,100,11,10,90,40,0,100,12
5,100,1,10,90,26,0,100,1
2,100,1,10,90,49,0,100,1
7,100,11,10,90,38,0,100,10
3,100,1,10,90,48,0,100,1
8,100,11,10,90,41,0,100,12
4,100,1,10,90,46,0,100,1
1,100,1,10,90,35,0,100,1
2,100,1,10,90,50,0,100,1
6,100,11,10,90,23,0,100,10
3,100,1,10,90,49,0,100,1
8,100,11,10,90,42,0,100,12
5,100,1,10,90,27,0,100,1
7,100,11,10,90,39,0,100,10
2,100,1,10,90,51,0,100,1
8,100,11,10,90,43,0,100,12
3,100,1,10,90,50,0,100,1
1,100,1,10,90,36,0,100,1
4,100,1,10,90,47,0,100,1
6,100,11,10,90,24,0,100,10
5,100,1,10,90,28,0,100,1
7,100,11,10,90,40,0,100,10
2,100,1,10,90,52,0,100,1
3,100,1,10,90,51,0,100,1
8,100,11,10,90,44,0,100,12
2,100,1,10,90,53,0,100,1
1,100,1,10,90,37,0,100,1
7,100,11,10,90,41,0,100,10
3,100,1,10,90,52,0,100,1
8,100,11,10,90,45,0,100,12
2,100,1,10,90,54,0,100,1
4,100,1,10,90,48,0,100,1
7,100,11,10,90,42,0,100,10
3,100,1,10,90,53,0,100,1
8,100,11,10,90,46,0,100,12
2,100,1,10,90,55,0,100,1
1,100,1,10,90,38,0,100,1
5,100,1,10,90,29,0,100,1
4,100,1,10,90,49,0,100,1
6,100,11,10,90,25,0,100,10
7,100,11,10,90,43,0,100,10
3,100,1,10,90,54,0,100,1
4,100,1,10,90,50,0,100,1
5,100,1,10,90,30,0,100,1
4,100,1,10,90,51,0,100,1
6,100,11,10,90,26,0,100,10
4,100,1,10,90,52,0,100,1
2,100,1,10,90,56,0,100,1
7,100,11,10,90,44,0,100,10
8,100,11,10,90,47,0,100,12
3,100,1,10,90,55,0,100,1
1,100,1,10,90,39,0,100,1
2,100,1,10,90,57,0,100,1
4,100,1,10,90,53,0,100,1
3,100,1,10,90,56,0,100,1
7,100,11,10,90,45,0,100,10
8,100,11,10,90,48,0,100,12
1,100,1,10,90,40,0,100,1
5,100,1,10,90,31,0,100,1
6,100,11,10,90,27,0,100,10
2,100,1,10,90,58,0,100,1
2,100,1,10,90,59,0,100,1
4,100,1,10,90,54,0,100,1
2,100,1,10,90,60,0,100,1
1,100,1,10,90,41,0,100,1
3,100,1,10,90,57,0,100,1
8,100,11,10,90,49,0,100,12
7,100,11,10,90,46,0,100,10
5,100,1,10,90,32,0,100,1
4,100,1,10,90,55,0,100,1
1,100,1,10,90,42,0,100,1
6,100,11,10,90,28,0,100,10
4,100,1,10,90,56,0,100,1
3,100,1,10,90,58,0,100,1
8,100,11,10,90,50,0,100,12
1,100,1,10,90,43,0,100,1
7,100,11,10,90,47,0,100,10
8,100,11,10,90,51,0,100,12
3,100,1,10,90,59,0,100,1
9,100,11,10,90,0,9,100,0
4,100,1,10,90,57,0,100,1
1,100,1,10,90,44,0,100,1
8,100,11,10,90,52,0,100,12
4,100,1,10,90,58,0,100,1
3,100,1,10,90,60,0,100,1
7,100,11,10,90,48,0,100,10
5,100,1,10,90,33,0,100,1
9,100,11,10,90,1,2,100,9
1,100,1,10,90,45,0,100,1
6,100,11,10,90,29,0,100,10
4,100,1,10,90,59,0,100,1
9,100,11,10,90,2,2,100,11
4,100,1,10,90,60,0,100,1
9,100,11,10,90,3,1,100,13
1,100,1,10,90,46,0,100,1
5,100,1,10,90,34,0,100,1
7,100,11,10,90,49,0,100,10
8,100,11,10,90,53,0,100,12
9,100,11,10,90,4,0,100,14
10,100,11,10,90,0,10,100,0
6,100,11,10,90,30,0,100,10
11,100,21,10,90,0,16,100,0
1,100,1,10,90,47,0,100,1
5,100,1,10,90,35,0,100,1
9,100,11,10,90,5,0,100,14
7,100,11,10,90,50,0,100,10
8,100,11,10,90,54,0,100,12
11,100,21,10,90,1,5,100,16
10,100,11,10,90,1,0,100,10
1,100,1,10,90,48,0,100,1
6,100,11,10,90,31,0,100,10
5,100,1,10,90,36,0,100,1
9,100,11,10,90,6,0,100,14
7,100,11,10,90,51,0,100,10
1,100,1,10,90,49,0,100,1
9,100,11,10,90,7,0,100,14
8,100,11,10,90,55,0,100,12
11,100,21,10,90,2,0,100,21
10,100,11,10,90,2,0,100,10
6,100,11,10,90,32,0,100,10
1,100,1,10,90,50,0,100,1
11,100,21,10,90,3,0,100,21
5,100,1,10,90,37,0,100,1
9,100,11,10,90,8,0,100,14
7,100,11,10,90,52,0,100,10
8,100,11,10,90,56,0,100,12
10,100,11,10,90,3,0,100,10
9,100,11,10,90,9,0,100,14
11,100,21,10,90,4,0,100,21
11,100,21,10,90,5,0,100,21
1,100,1,10,90,51,0,100,1
6,100,11,10,90,33,0,100,10
5,100,1,10,90,38,0,100,1
9,100,11,10,90,10,0,100,14
11,100,21,10,90,6,0,100,21
7,100,11,10,90,53,0,100,10
8,100,11,10,90,57,0,100,12
10,100,11,10,90,4,0,100,10
9,100,11,10,90,11,0,100,14
9,100,11,10,90,12,0,100,14
11,100,21,10,90,7,0,100,21
1,100,1,10,90,52,0,100,1
7,100,11,10,90,54,0,100,10
8,100,11,10,90,58,0,100,12
6,100,11,10,90,34,0,100,10
11,100,21,10,90,8,0,100,21
9,100,11,10,90,13,0,100,14
5,100,1,10,90,39,0,100,1
10,100,11,10,90,5,0,100,10
11,100,21,10,90,9,0,100,21
9,100,11,10,90,14,0,100,14
7,100,11,10,90,55,0,100,10
8,100,11,10,90,59,0,100,12
9,100,11,10,90,15,0,100,14
11,100,21,10,90,10,0,100,21
1,100,1,10,90,53,0,100,1
10,100,11,10,90,6,0,100,10
5,100,1,10,90,40,0,100,1
6,100,11,10,90,35,0,100,10
11,100,21,10,90,11,0,100,21
1,100,1,10,90,54,0,100,1
9,100,11,10,90,16,0,100,14
11,100,21,10,90,12,0,100,21
8,100,11,10,90,60,0,100,12
10,100,11,10,90,7,0,100,10
7,100,11,10,90,56,0,100,10
6,100,11,10,90,36,0,100,10
1,100,1,10,90,55,0,100,1
11,100,21,10,90,13,0,100,21
7,100,11,10,90,57,0,100,10
5,100,1,10,90,41,0,100,1
9,100,11,10,90,17,0,100,14
11,100,21,10,90,14,0,100,21
11,100,21,10,90,15,0,100,21
1,100,1,10,90,56,0,100,1
6,100,11,10,90,37,0,100,10
9,100,11,10,90,18,0,100,14
10,100,11,10,90,8,0,100,10
12,100,21,10,90,0,16,100,0
11,100,21,10,90,16,0,100,21
5,100,1,10,90,42,0,100,1
7,100,11,10,90,58,0,100,10
9,100,11,10,90,19,0,100,14
1,100,1,10,90,57,0,100,1
11,100,21,10,90,17,0,100,21
5,100,1,10,90,43,0,100,1
6,100,11,10,90,38,0,100,10
9,100,11,10,90,20,0,100,14
12,100,21,10,90,1,2,100,16
10,100,11,10,90,9,0,100,10
1,100,1,10,90,58,0,100,1
6,100,11,10,90,39,0,100,10
11,100,21,10,90,18,0,100,21
1,100,1,10,90,59,0,100,1
5,100,1,10,90,44,0,100,1
11,100,21,10,90,19,0,100,21
7,100,11,10,90,59,0,100,10
9,100,11,10,90,21,0,100,14
11,100,21,10,90,20,0,100,21
6,100,11,10,90,40,0,100,10
1,100,1,10,90,60,0,100,1
12,100,21,10,90,2,1,100,18
9,100,11,10,90,22,0,100,14
5,100,1,10,90,45,0,100,1
11,100,21,10,90,21,0,100,21
6,100,11,10,90,41,0,100,10
10,100,11,10,90,10,0,100,10
7,100,11,10,90,60,0,100,10
11,100,21,10,90,22,0,100,21
5,100,1,10,90,46,0,100,1
9,100,11,10,90,23,0,100,14
6,100,11,10,90,42,0,100,10
11,100,21,10,90,23,0,100,21
12,100,21,10,90,3,1,100,19
10,100,11,10,90,11,0,100,10
5,100,1,10,90,47,0,100,1
11,100,21,10,90,24,0,100,21
6,100,11,10,90,43,0,100,10
5,100,1,10,90,48,0,100,1
13,100,21,10,90,0,16,100,0
14,100,21,10,90,0,18,100,0
9,100,11,10,90,24,0,100,14
11,100,21,10,90,25,0,100,21
10,100,11,10,90,12,0,100,10
9,100,11,10,90,25,0,100,14
12,100,21,10,90,4,0,100,20
13,100,21,10,90,1,0,100,16
6,100,11,10,90,44,0,100,10
14,100,21,10,90,1,2,100,18
5,100,1,10,90,49,0,100,1
11,100,21,10,90,26,0,100,21
10,100,11,10,90,13,0,100,10
13,100,21,10,90,2,0,100,16
9,100,11,10,90,26,0,100,14
5,100,1,10,90,50,0,100,1
11,100,21,10,90,27,0,100,21
13,100,21,10,90,3,0,100,16
6,100,11,10,90,45,0,100,10
5,100,1,10,90,51,0,100,1
12,100,21,10,90,5,0,100,20
14,100,21,10,90,2,0,100,20
9,100,11,10,90,27,0,100,14
13,100,21,10,90,4,0,100,16
11,100,21,10,90,28,0,100,21
6,100,11,10,90,46,0,100,10
10,100,11,10,90,14,0,100,10
9,100,11,10,90,28,0,100,14
11,100,21,10,90,29,0,100,21
5,100,1,10,90,52,0,100,1
6,100,11,10,90,47,0,100,10
9,100,11,10,90,29,0,100,14
13,100,21,10,90,5,0,100,16
12,100,21,10,90,6,0,100,20
11,100,21,10,90,30,0,100,21
5,100,1,10,90,53,0,100,1
6,100,11,10,90,48,0,100,10
9,100,11,10,90,30,0,100,14
14,100,21,10,90,3,0,100,20
10,100,11,10,90,15,0,100,10
11,100,21,10,90,31,0,100,21
13,100,21,10,90,6,0,100,16
6,100,11,10,90,49,0,100,10
5,100,1,10,90,54,0,100,1
12,100,21,10,90,7,0,100,20
11,100,21,10,90,32,0,100,21
13,100,21,10,90,7,0,100,16
6,100,11,10,90,50,0,100,10
9,100,11,10,90,31,0,100,14
11,100,21,10,90,33,0,100,21
14,100,21,10,90,4,0,100,20
13,100,21,10,90,8,0,100,16
5,100,1,10,90,55,0,100,1
6,100,11,10,90,51,0,100,10
10,100,11,10,90,16,0,100,10
12,100,21,10,90,8,0,100,20
9,100,11,10,90,32,0,100,14
13,100,21,10,90,9,0,100,16
11,100,21,10,90,34,0,100,21
6,100,11,10,90,52,0,100,10
5,100,1,10,90,56,0,100,1
9,100,11,10,90,33,0,100,14
13,100,21,10,90,10,0,100,16
11,100,21,10,90,35,0,100,21
6,100,11,10,90,53,0,100,10
9,100,11,10,90,34,0,100,14
13,100,21,10,90,11,0,100,16
5,100,1,10,90,57,0,100,1
10,100,11,10,90,17,0,100,10
12,100,21,10,90,9,0,100,20
14,100,21,10,90,5,0,100,20
9,100,11,10,90,35,0,100,14
11,100,21,10,90,36,0,100,21
6,100,11,10,90,54,0,100,10
13,100,21,10,90,12,0,100,16
5,100,1,10,90,58,0,100,1
11,100,21,10,90,37,0,100,21
6,100,11,10,90,55,0,100,10
13,100,21,10,90,13,0,100,16
5,100,1,10,90,59,0,100,1
9,100,11,10,90,36,0,100,14
10,100,11,10,90,18,0,100,10
12,100,21,10,90,10,0,100,20
14,100,21,10,90,6,0,100,20
11,100,21,10,90,38,0,100,21
13,100,21,10,90,14,0,100,16
6,100,11,10,90,56,0,100,10
11,100,21,10,90,39,0,100,21
5,100,1,10,90,60,0,100,1
13,100,21,10,90,15,0,100,16
6,100,11,10,90,57,0,100,10
9,100,11,10,90,37,0,100,14
10,100,11,10,90,19,0,100,10
11,100,21,10,90,40,0,100,21
12,100,21,10,90,11,0,100,20
14,100,21,10,90,7,0,100,20
9,100,11,10,90,38,0,100,14
11,100,21,10,90,41,0,100,21
9,100,11,10,90,39,0,100,14
11,100,21,10,90,42,0,100,21
12,100,21,10,90,12,0,100,20
13,100,21,10,90,16,0,100,16
10,100,11,10,90,20,0,100,10
9,100,11,10,90,40,0,100,14
6,100,11,10,90,58,0,100,10
11,100,21,10,90,43,0,100,21
15,100,21,10,90,0,17,100,0
11,100,21,10,90,44,0,100,21
14,100,21,10,90,8,0,100,20
9,100,11,10,90,41,0,100,14
11,100,21,10,90,45,0,100,21
12,100,21,10,90,13,0,100,20
11,100,21,10,90,46,0,100,21
13,100,21,10,90,17,0,100,16
6,100,11,10,90,59,0,100,10
15,100,21,10,90,1,2,100,17
9,100,11,10,90,42,0,100,14
13,100,21,10,90,18,0,100,16
11,100,21,10,90,47,0,100,21
6,100,11,10,90,60,0,100,10
15,100,21,10,90,2,1,100,19
13,100,21,10,90,19,0,100,16
9,100,11,10,90,43,0,100,14
10,100,11,10,90,21,0,100,10
14,100,21,10,90,9,0,100,20
13,100,21,10,90,20,0,100,16
11,100,21,10,90,48,0,100,21
15,100,21,10,90,3,0,100,20
12,100,21,10,90,14,0,100,20
10,100,11,10,90,22,0,100,10
9,100,11,10,90,44,0,100,14
14,100,21,10,90,10,0,100,20
11,100,21,10,90,49,0,100,21
13,100,21,10,90,21,0,100,16
9,100,11,10,90,45,0,100,14
16,100,31,10,90,0,26,100,0
10,100,11,10,90,23,0,100,10
12,100,21,10,90,15,0,100,20
14,100,21,10,90,11,0,100,20
11,100,21,10,90,50,0,100,21
9,100,11,10,90,46,0,100,14
15,100,21,10,90,4,0,100,20
13,100,21,10,90,22,0,100,16
10,100,11,10,90,24,0,100,10
12,100,21,10,90,16,0,100,20
14,100,21,10,90,12,0,100,20
11,100,21,10,90,51,0,100,21
9,100,11,10,90,47,0,100,14
13,100,21,10,90,23,0,100,16
16,100,31,10,90,1,4,100,26
15,100,21,10,90,5,0,100,20
14,100,21,10,90,13,0,100,20
9,100,11,10,90,48,0,100,14
12,100,21,10,90,17,0,100,20
10,100,11,10,90,25,0,100,10
13,100,21,10,90,24,0,100,16
11,100,21,10,90,52,0,100,21
9,100,11,10,90,49,0,100,14
13,100,21,10,90,25,0,100,16
11,100,21,10,90,53,0,100,21
16,100,31,10,90,2,0,100,30
15,100,21,10,90,6,0,100,20
9,100,11,10,90,50,0,100,14
14,100,21,10,90,14,0,100,20
12,100,21,10,90,18,0,100,20
10,100,11,10,90,26,0,100,10
11,100,21,10,90,54,0,100,21
9,100,11,10,90,51,0,100,14
13,100,21,10,90,26,0,100,16
16,100,31,10,90,3,0,100,30
15,100,21,10,90,7,0,100,20
11,100,21,10,90,55,0,100,21
9,100,11,10,90,52,0,100,14
11,100,21,10,90,56,0,100,21
9,100,11,10,90,53,0,100,14
12,100,21,10,90,19,0,100,20
10,100,11,10,90,27,0,100,10
13,100,21,10,90,27,0,100,16
16,100,31,10,90,4,0,100,30
11,100,21,10,90,57,0,100,21
14,100,21,10,90,15,0,100,20
13,100,21,10,90,28,0,100,16
15,100,21,10,90,8,0,100,20
9,100,11,10,90,54,0,100,14
12,100,21,10,90,20,0,100,20
13,100,21,10,90,29,0,100,16
11,100,21,10,90,58,0,100,21
